Time,Event,Player,Team
41.37,Drop Opponent flag,CreedBratton,Blue
3.73,Grab Opponent flag,bubblez,Red
6.62,Return,ez,Blue
62.98,Drop Opponent flag,jmu,Red
6.87,Grab Opponent flag,Sugar,Red
41.37,Return,jmu,Red
70.1,Drop Opponent flag,CreedBratton,Blue
97.42,Drop Opponent flag,jmu,Red
5.07,Grab Opponent flag,fender,Blue
70.1,Return,CreedBratton,Blue
168.8,Grab Opponent flag,CreedBratton,Blue
4.27,Drop Opponent flag,bubblez,Red
23.43,Grab Opponent flag,bubblez,Red
57.97,Drop Opponent flag,bubblez,Red
62.98,Return,jmu,Red
239.75,Drop Opponent flag,bubblez,Red
253.08,Drop Opponent flag,bubblez,Red
4.27,Return,waterlemon,Blue
16.38,Drop Opponent flag,Sugar,Red
52.93,Drop Opponent flag,Sugar,Red
64.43,Grab Opponent flag,Sugar,Red
70.1,Drop Opponent flag,Sugar,Red
64.2,Grab Opponent flag,CreedBratton,Blue
91.07,Drop Opponent flag,Sugar,Red
93.32,Grab Opponent flag,jmu,Red
117.9,Drop Opponent flag,Sugar,Red
137.12,Drop Opponent flag,Sugar,Red
166.88,Grab Opponent flag,Sugar,Red
176.6,Drop Opponent flag,Sugar,Red
34.28,Return,fender,Blue
34.28,Drop Opponent flag,fender,Blue
34.28,Return,bubblez,Red
34.28,Drop Opponent flag,bubblez,Red
57.97,Return,bubblez,Red
60.18,Grab Opponent flag,ez,Blue
62.98,Drop Opponent flag,ez,Blue
127.48,Drop Opponent flag,bubblez,Red
144.5,Grab Opponent flag,bubblez,Red
147.4,Drop Opponent flag,bubblez,Red
206.78,Grab Opponent flag,bubblez,Red
252.57,Grab Opponent flag,bubblez,Red
268.82,Grab Opponent flag,bubblez,Red
4.52,Grab Opponent flag,FreeFalastin,Red
6.62,Drop Opponent flag,FreeFalastin,Red
46.77,Drop Opponent flag,FreeFalastin,Red
70.78,Grab Opponent flag,FreeFalastin,Red
108.4,Capture Opponent flag,FreeFalastin,Red
34.53,Grab Opponent flag,CreedBratton,Blue
46.77,Return,waterlemon,Blue
48.33,Grab Opponent flag,Sugar,Red
70.1,Return,Sugar,Red
83.57,Return,Sugar,Red
88.13,Grab Opponent flag,Sugar,Red
91.07,Return,Sugar,Red
108.65,Grab Opponent flag,Sugar,Red
136.82,Grab Opponent flag,Sugar,Red
167.12,Drop Opponent flag,Sugar,Red
176.17,Grab Opponent flag,Sugar,Red
183.58,Return,Sugar,Red
195.3,Grab Opponent flag,Sugar,Red
206.53,Drop Opponent flag,Sugar,Red
235.98,Return,Sugar,Red
43.5,Grab Opponent flag,fender,Blue
57.97,Drop Opponent flag,fender,Blue
72.55,Drop Opponent flag,fender,Blue
87.05,Return,fender,Blue
108.15,Drop Opponent flag,fender,Blue
59.3,Grab Opponent flag,jmu,Red
53.18,Grab Opponent flag,bubblez,Red
239.75,Drop Opponent flag,CreedBratton,Blue
72.55,Return,bubblez,Red
281.25,Drop Opponent flag,fender,Blue
82.4,Grab Opponent flag,bubblez,Red
108.15,Return,bubblez,Red
62.98,Return,ez,Blue
83.82,Grab Opponent flag,ez,Blue
91.07,Drop Opponent flag,ez,Blue
125.43,Grab Opponent flag,ez,Blue
235.98,Drop Opponent flag,ez,Blue
239.75,Return,bubblez,Red
266.48,Grab Opponent flag,ez,Blue
282.88,Grab Opponent flag,ez,Blue
74.37,Capture Opponent flag,FreeFalastin,Red
16.38,Return,waterlemon,Blue
52.93,Return,waterlemon,Blue
76.63,Grab Opponent flag,waterlemon,Blue
83.57,Drop Opponent flag,waterlemon,Blue
97.42,Return,waterlemon,Blue
117.9,Return,waterlemon,Blue
156.1,Drop Opponent flag,jmu,Red
137.12,Return,waterlemon,Blue
147.4,Return,waterlemon,Blue
156.1,Return,waterlemon,Blue
170.32,Return,jmu,Red
167.12,Return,waterlemon,Blue
176.6,Return,waterlemon,Blue
186.85,Grab Opponent flag,waterlemon,Blue
192.23,Capture Opponent flag,waterlemon,Blue
255.98,Grab Opponent flag,waterlemon,Blue
266.18,Capture Opponent flag,waterlemon,Blue
294.98,Return,waterlemon,Blue
170.32,Drop Opponent flag,CreedBratton,Blue
245.68,Grab Opponent flag,Sugar,Red
57.97,Return,fender,Blue
72.3,Grab Opponent flag,fender,Blue
261.85,Grab Opponent flag,Sugar,Red
96.67,Grab Opponent flag,fender,Blue
263.95,Drop Opponent flag,Sugar,Red
307.37,Grab Opponent flag,Sugar,Red
127.48,Return,fender,Blue
206.53,Return,CreedBratton,Blue
143.82,Return,fender,Blue
179.25,Grab Opponent flag,fender,Blue
237.97,Grab Opponent flag,CreedBratton,Blue
183.58,Drop Opponent flag,fender,Blue
239.75,Return,CreedBratton,Blue
241.98,Grab Opponent flag,fender,Blue
255.73,Capture Opponent flag,fender,Blue
274.72,Return,jmu,Red
263.95,Return,fender,Blue
279.68,Grab Opponent flag,fender,Blue
290.27,Grab Opponent flag,fender,Blue
296.27,Capture Opponent flag,fender,Blue
302.82,Grab Opponent flag,fender,Blue
87.05,Drop Opponent flag,bubblez,Red
294.75,Grab Opponent flag,jmu,Red
91.07,Return,ez,Blue
125.5,Grab Opponent flag,bubblez,Red
159.95,Capture Opponent flag,ez,Blue
294.98,Drop Opponent flag,jmu,Red
270.05,Return,CreedBratton,Blue
194.83,Grab Opponent flag,ez,Blue
253.08,Return,ez,Blue
274.72,Drop Opponent flag,ez,Blue
288.52,Return,CreedBratton,Blue
289.47,Capture Opponent flag,ez,Blue
270.05,Drop Opponent flag,bubblez,Red
281.25,Return,bubblez,Red
34.53,Grab Opponent flag,FreeFalastin,Red
287.78,Grab Opponent flag,bubblez,Red
288.52,Drop Opponent flag,bubblez,Red
99.15,Grab Opponent flag,FreeFalastin,Red
149.1,Grab Opponent flag,jmu,Red
139.17,Grab Opponent flag,FreeFalastin,Red
143.82,Drop Opponent flag,FreeFalastin,Red

BLUE START AND END EVENTS
Role,Time,Player,Team,Note
Start,5.07,fender,Blue,
Start,168.80,CreedBratton,Blue,
Start,64.20,CreedBratton,Blue,
Start,60.18,ez,Blue,
Start,34.53,CreedBratton,Blue,
Start,43.50,fender,Blue,
Start,83.82,ez,Blue,
Start,125.43,ez,Blue,
Start,266.48,ez,Blue,
Start,282.88,ez,Blue,
Start,76.63,waterlemon,Blue,
Start,186.85,waterlemon,Blue,
Start,255.98,waterlemon,Blue,
Start,72.30,fender,Blue,
Start,96.67,fender,Blue,
Start,179.25,fender,Blue,
Start,237.97,CreedBratton,Blue,
Start,241.98,fender,Blue,
Start,279.68,fender,Blue,
Start,290.27,fender,Blue,
Start,302.82,fender,Blue,
Start,194.83,ez,Blue,
End,41.37,CreedBratton,Blue,Drop Opponent flag
End,6.62,ez,Blue,Return
End,70.10,CreedBratton,Blue,Drop Opponent flag
End,70.10,CreedBratton,Blue,Return
End,4.27,waterlemon,Blue,Return
End,34.28,fender,Blue,Return
End,34.28,fender,Blue,Drop Opponent flag
End,62.98,ez,Blue,Drop Opponent flag
End,46.77,waterlemon,Blue,Return
End,57.97,fender,Blue,Drop Opponent flag
End,72.55,fender,Blue,Drop Opponent flag
End,87.05,fender,Blue,Return
End,108.15,fender,Blue,Drop Opponent flag
End,239.75,CreedBratton,Blue,Drop Opponent flag
End,281.25,fender,Blue,Drop Opponent flag
End,62.98,ez,Blue,Return
End,91.07,ez,Blue,Drop Opponent flag
End,235.98,ez,Blue,Drop Opponent flag
End,16.38,waterlemon,Blue,Return
End,52.93,waterlemon,Blue,Return
End,83.57,waterlemon,Blue,Drop Opponent flag
End,97.42,waterlemon,Blue,Return
End,117.90,waterlemon,Blue,Return
End,137.12,waterlemon,Blue,Return
End,147.40,waterlemon,Blue,Return
End,156.10,waterlemon,Blue,Return
End,167.12,waterlemon,Blue,Return
End,176.60,waterlemon,Blue,Return
End,192.23,waterlemon,Blue,Capture Opponent flag
End,266.18,waterlemon,Blue,Capture Opponent flag
End,294.98,waterlemon,Blue,Return
End,170.32,CreedBratton,Blue,Drop Opponent flag
End,57.97,fender,Blue,Return
End,127.48,fender,Blue,Return
End,206.53,CreedBratton,Blue,Return
End,143.82,fender,Blue,Return
End,183.58,fender,Blue,Drop Opponent flag
End,239.75,CreedBratton,Blue,Return
End,255.73,fender,Blue,Capture Opponent flag
End,263.95,fender,Blue,Return
End,296.27,fender,Blue,Capture Opponent flag
End,91.07,ez,Blue,Return
End,159.95,ez,Blue,Capture Opponent flag
End,270.05,CreedBratton,Blue,Return
End,253.08,ez,Blue,Return
End,274.72,ez,Blue,Drop Opponent flag
End,288.52,CreedBratton,Blue,Return
End,289.47,ez,Blue,Capture Opponent flag

RED START AND END EVENTS
Role,Time,Player,Team,Note
Start,3.73,bubblez,Red,
Start,6.87,Sugar,Red,
Start,23.43,bubblez,Red,
Start,64.43,Sugar,Red,
Start,93.32,jmu,Red,
Start,166.88,Sugar,Red,
Start,144.50,bubblez,Red,
Start,206.78,bubblez,Red,
Start,252.57,bubblez,Red,
Start,268.82,bubblez,Red,
Start,4.52,FreeFalastin,Red,
Start,70.78,FreeFalastin,Red,
Start,48.33,Sugar,Red,
Start,88.13,Sugar,Red,
Start,108.65,Sugar,Red,
Start,136.82,Sugar,Red,
Start,176.17,Sugar,Red,
Start,195.30,Sugar,Red,
Start,59.30,jmu,Red,
Start,53.18,bubblez,Red,
Start,82.40,bubblez,Red,
Start,245.68,Sugar,Red,
Start,261.85,Sugar,Red,
Start,307.37,Sugar,Red,
Start,294.75,jmu,Red,
Start,125.50,bubblez,Red,
Start,34.53,FreeFalastin,Red,
Start,287.78,bubblez,Red,
Start,99.15,FreeFalastin,Red,
Start,149.10,jmu,Red,
Start,139.17,FreeFalastin,Red,
End,62.98,jmu,Red,Drop Opponent flag
End,41.37,jmu,Red,Return
End,97.42,jmu,Red,Drop Opponent flag
End,4.27,bubblez,Red,Drop Opponent flag
End,57.97,bubblez,Red,Drop Opponent flag
End,62.98,jmu,Red,Return
End,239.75,bubblez,Red,Drop Opponent flag
End,253.08,bubblez,Red,Drop Opponent flag
End,16.38,Sugar,Red,Drop Opponent flag
End,52.93,Sugar,Red,Drop Opponent flag
End,70.10,Sugar,Red,Drop Opponent flag
End,91.07,Sugar,Red,Drop Opponent flag
End,117.90,Sugar,Red,Drop Opponent flag
End,137.12,Sugar,Red,Drop Opponent flag
End,176.60,Sugar,Red,Drop Opponent flag
End,34.28,bubblez,Red,Return
End,34.28,bubblez,Red,Drop Opponent flag
End,57.97,bubblez,Red,Return
End,127.48,bubblez,Red,Drop Opponent flag
End,147.40,bubblez,Red,Drop Opponent flag
End,6.62,FreeFalastin,Red,Drop Opponent flag
End,46.77,FreeFalastin,Red,Drop Opponent flag
End,108.40,FreeFalastin,Red,Capture Opponent flag
End,70.10,Sugar,Red,Return
End,83.57,Sugar,Red,Return
End,91.07,Sugar,Red,Return
End,167.12,Sugar,Red,Drop Opponent flag
End,183.58,Sugar,Red,Return
End,206.53,Sugar,Red,Drop Opponent flag
End,235.98,Sugar,Red,Return
End,72.55,bubblez,Red,Return
End,108.15,bubblez,Red,Return
End,239.75,bubblez,Red,Return
End,74.37,FreeFalastin,Red,Capture Opponent flag
End,156.10,jmu,Red,Drop Opponent flag
End,170.32,jmu,Red,Return
End,263.95,Sugar,Red,Drop Opponent flag
End,274.72,jmu,Red,Return
End,87.05,bubblez,Red,Drop Opponent flag
End,294.98,jmu,Red,Drop Opponent flag
End,270.05,bubblez,Red,Drop Opponent flag
End,281.25,bubblez,Red,Return
End,288.52,bubblez,Red,Drop Opponent flag
End,143.82,FreeFalastin,Red,Drop Opponent flag
